trial_id,temp,pH,latency_ms,success,seed
98,32.0,7.4,1.2322991324911081,1,42
99,32.0,7.4,1.3333126832245166,1,42
100,32.0,7.4,1.1791663620067354,1,42
101,32.0,7.4,1.5891161284159614,1,42
102,32.0,7.4,1.2251179635426974,1,42
103,32.0,7.4,1.0794472442383298,1,42
104,32.0,7.4,1.3468911872345593,1,42
105,32.0,7.4,1.195082099588936,1,42
106,32.0,7.4,1.314244373663809,1,42
107,32.0,7.4,1.149823865459049,1,42
108,32.0,7.4,1.3193044786369488,1,42
109,32.0,7.4,1.0845431927215068,1,42
110,32.0,7.4,1.1414838901135334,1,42
111,32.0,7.4,1.299044905557662,1,42
112,32.0,7.4,1.4552029850258437,1,42
113,32.0,7.4,1.3579522575180103,1,42
114,32.0,7.4,1.2192727562736208,1,42
115,32.0,7.4,1.0799996573628483,1,42
116,32.0,7.4,1.4026937499474386,1,42
117,32.0,7.4,1.254159404479275,1,42
118,32.0,7.4,1.2476474387119734,1,42
119,32.0,7.4,1.4103236420863179,1,42
120,32.0,7.4,1.213200118299941,1,42
121,32.0,7.4,1.2442135658704858,1,42
122,32.0,7.4,1.2364784283393653,1,42
123,32.0,7.4,1.2349403501051865,1,42
124,32.0,7.4,1.0942084833095633,1,42
125,32.0,7.4,0.9656598209154766,1,42
126,32.0,7.4,1.2614451968448315,1,42
127,32.0,7.4,1.089081885402275,1,42
128,32.0,7.4,1.1660404975413259,1,42
129,32.0,7.4,1.2879486733204142,1,42
130,32.0,7.4,1.0370111776216877,1,42
131,32.0,7.4,1.5415067810124206,1,42
132,32.0,7.4,1.4662961423095657,1,42
133,32.0,7.4,1.214280387157326,1,42
134,32.0,7.4,1.2731301436135714,1,42
135,32.0,7.4,1.150921582944223,1,42
136,32.0,7.4,0.9821134286790081,1,42
137,32.0,7.4,1.1058025035012202,1,42
138,32.0,7.4,1.4411931279105596,1,42
139,32.0,7.4,1.2559951961900988,1,42
140,32.0,7.4,0.9899574374222408,1,42
141,32.0,7.4,1.2642009320358694,1,42
142,32.0,7.4,1.4398214795011683,1,42
143,32.0,7.4,1.1114648063599863,1,42
144,32.0,7.4,1.0357639770428495,1,42
145,32.0,7.4,1.1794699694588473,1,42
146,32.0,7.4,1.4702373615825988,1,42
147,32.0,7.4,1.033693185268065,1,42
148,32.0,7.4,1.1977030456803273,1,42
149,32.0,7.4,1.4248952928989218,1,42
150,32.0,7.4,1.3945966951183704,1,42
151,32.0,7.4,1.2202580696780683,1,42
152,32.0,7.4,1.535849805208039,1,42
153,32.0,7.4,1.184285464872625,1,42
154,32.0,7.4,1.2205871999886078,1,42
155,32.0,7.4,0.9506513218668866,1,42
156,32.0,7.4,1.3887075880716282,1,42
157,32.0,7.4,1.3068707909077335,1,42
158,32.0,7.4,1.2219760877496268,1,42
159,32.0,7.4,1.1451412379164414,1,42
160,32.0,7.4,1.24080911384686,1,42
161,32.0,7.4,1.1264214431686583,1,42
162,32.0,7.4,1.1631910740532714,1,42
163,32.0,7.4,1.2620943543142848,1,42
164,32.0,7.4,1.2923235308385652,1,42
165,32.0,7.4,1.2882465076556273,1,42
166,32.0,7.4,1.1143062420451173,1,42
167,32.0,7.4,,0,42
168,32.0,7.4,1.3883111677817164,1,42
169,32.0,7.4,1.1306485303518783,1,42
170,32.0,7.4,1.1821869752908558,1,42
171,32.0,7.4,1.3636525595845426,1,42
172,32.0,7.4,1.3921451430895622,1,42
173,32.0,7.4,1.215088229498022,1,42
174,32.0,7.4,1.2568773028000253,1,42
175,32.0,7.4,1.194253566602188,1,42
176,32.0,7.4,1.099406329755581,1,42
177,32.0,7.4,1.5006155986897558,1,42
178,32.0,7.4,1.3718313867334067,1,42
179,32.0,7.4,1.3213187762102914,1,42
180,32.0,7.4,1.2105048383593688,1,42
181,32.0,7.4,1.0885120256334009,1,42
182,32.0,7.4,1.3466071921424159,1,42
183,32.0,7.4,1.1919220314315604,1,42
184,32.0,7.4,1.269113021968515,1,42
185,32.0,7.4,1.1344870441208779,1,42
186,32.0,7.4,1.2459601037695842,1,42
187,32.0,7.4,1.142314005103067,1,42
188,32.0,7.4,1.1472632688816389,1,42
189,32.0,7.4,1.2441796258565476,1,42
190,32.0,7.4,,0,42
191,32.0,7.4,1.3713135716518443,1,42
192,32.0,7.4,1.1463888670640607,1,42
193,32.0,7.4,,0,42
194,32.0,7.4,1.1131598966849858,1,42
195,32.0,7.4,1.1827706130521376,1,42
196,32.0,7.4,1.330416043896506,1,42
197,32.0,7.4,1.190146444945806,1,42
198,32.0,7.4,1.2096410590349265,1,42
199,32.0,7.4,1.1724031756561724,1,42
200,32.0,7.4,1.2566777336246466,1,42
201,32.0,7.4,1.0981643212108179,1,42
202,32.0,7.4,1.1972010676635667,1,42
203,32.0,7.4,1.2675664514211316,1,42
204,32.0,7.4,1.2430827399249011,1,42
205,32.0,7.4,1.2139287645057832,1,42
206,32.0,7.4,1.2155715557203943,1,42
207,32.0,7.4,1.2808389582515596,1,42
208,32.0,7.4,1.5089958377324015,1,42
209,32.0,7.4,1.1064188741141034,1,42
210,32.0,7.4,1.5140437433567406,1,42
211,32.0,7.4,1.1007740708100353,1,42
212,32.0,7.4,0.9194271171341724,1,42
213,32.0,7.4,1.1397209086738274,1,42
214,32.0,7.4,1.2593019233604372,1,42
215,32.0,7.4,1.4708115029022453,1,42
216,32.0,7.4,1.0883520854881945,1,42
217,32.0,7.4,1.280000989270285,1,42
218,32.0,7.4,1.0302070145241131,1,42
219,32.0,7.4,1.4646482206879772,1,42
220,32.0,7.4,1.3747714912769675,1,42
221,32.0,7.4,,0,42
222,32.0,7.4,1.1475200241248815,1,42
223,32.0,7.4,1.259186992338159,1,42
224,32.0,7.4,1.2002814137205218,1,42
225,32.0,7.4,0.8741635024723007,1,42
226,32.0,7.4,1.0879552128738699,1,42
227,32.0,7.4,1.2479481888043737,1,42
228,32.0,7.4,,0,42
229,32.0,7.4,,0,42
230,32.0,7.4,1.2538698181469767,1,42
231,32.0,7.4,1.1690446018537661,1,42
232,32.0,7.4,0.9917637198172474,1,42
233,32.0,7.4,1.0235413143715857,1,42
234,32.0,7.4,1.2860072074461102,1,42
235,32.0,7.4,1.0980730499544926,1,42
236,32.0,7.4,1.1703071508435687,1,42
237,32.0,7.4,1.2280259216489433,1,42
